1,5,0x18e113d8177c691a61be785852fa5bb47aeebdaf,13727.4,1998.243,-11729.157
2,31,0xb81a113d28921f1a079dafe4b2466e86b79532a0,1351.91,884.9525,-466.9575
3,14,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,2877.36,2526.568,-350.792
4,30,0xa94b92ee932e6cabc09c6af2ba11cf7958cc7e55,2535.9,2357.3,-178.6
5,11,0x7910679e620a9b4461554d4bc4bcf517838f21db,126.8313,0,-126.8313
6,21,0xaedd675607520b203a0216e38f3b5b440b8d901c,366.75,272.602,-94.148
7,41,0x28da3423ab297826e567debd2ef8ba34cf938674,92.87,0,-92.87
8,7,0x562236c0d4fd95e26c53ac56b7d118e420ca1716,90.81,2.4865,-88.3235
9,4,0xe8fd59a3834918dcdc982a3342a74050f2dd4192,82.33,2.974,-79.356
10,38,0x0d82cd113dc35ddda93f38166cd5cde8b88e36a1,140.97,69.135,-71.835
11,3,0x446710082de6189de4159999559e5304fd5be031,77.67,13.827,-63.843
12,12,0x1c6ea73fdf2218a1bd32a7f7bed64ecf214caa7e,40.47,1.4445,-39.0255
13,34,0x0a5dbab7357f935200d9e71b067060042ede417d,64.1799,26.82438,-37.35552
14,27,0x156d28739923ab616ac6d16498d736b349349d2d,28.52,0,-28.52
15,20,0x90f94f8f0de0424e547b40db69791ce49734fab8,25.14,0,-25.14
16,10,0x7b2e78d4dfaaba045a167a70da285e30e8fca196,16,0,-16
17,15,0xe97e15a717e2694229277ea3394f194ad9f8414a,30.777,15.628,-15.149
18,18,0x0a9381f17edab836bb036a5e4a7a62297633a83f,37.76,24.244,-13.516
19,32,0x4038c1e9ee25863eee021bf4ca23cbb06b42e663,11.45564,0,-11.45564
20,24,0x41542b0a28f978f7aff8b35b356a7e0b2f2bc638,11.41,0,-11.41
21,2,0x1b7b3e656b5f775f27a6d1d3ad59105908f0091c,10.41,0,-10.41
22,29,0xb3cb9dc84746a6951c3557898e3f34426c251f35,161.561102,151.724102,-9.837
23,9,0x2b5bd3537d3bdd3c4e87e40262b1e9ee76bbb570,8.48,0,-8.48
24,1,0x88169e3fe20a018286257143a67790304bd333b9,8.44,0,-8.44
25,23,0x3ffe13525e6657b36b0ca1bf8a7e07d8a3b9a17b,8.44,0,-8.44
26,28,0xc4dc238f4ff143480f64456e0c4837e1c802934e,8.44,0,-8.44
27,40,0xd304b3dc07c42501ae08f11df9bac2a60cfeb064,7.91,0,-7.91
28,13,0x5280ab0d3feede140734f1cd0575b99e7cbceb6b,151.51,145.255,-6.255
29,17,0x490f824a4c4942e360227dbccc9daf3310fcd66d,0,0,0
30,25,0x6e05ce4aef57eb1db331477eaa3a4e8902ac052b,0.0866,0.0866,0
31,33,0x818d14614d51e2e74050eaa8f7b01fcd42a88675,0.02066,0.02066,0
32,35,0x1fbb2d5aa97e5ffde30058223a7a324538db3f45,0.01161,0.01161,0
33,8,0xa4145a98b12b717078b96821124d781c563511ca,11.22,12.342,1.122
34,36,0x8568fe4945f2d14cd00b0387103293129f0e3e4a,11.22,12.342,1.122
35,6,0x850efcf2c0fe2f53031dea203477eafebbaacc0c,12.57,13.827,1.257
36,16,0x21b58df6c2282f81200b4b410b000bfc924d2cf7,22.54,24.794,2.254
37,37,0x7decd3f363c5cba4cb9148cb1666560306dd79f3,12.57,15.521,2.951
38,39,0xd7bdd310f6e63c336911183e3d833154513b9195,33.76,37.136,3.376
39,26,0xb3e3429824d31ba87edea73fac823a67f44c6015,12303.8,12924.934,621.134
40,19,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,235.229,1521.033268,1285.804268
41,22,0xde6772108bfea2593f35a6db507cd948f6c21996,1344,22702.47051,21358.47051
